51° 23.357145092047915,6° 48.37199028602241
51° 23.3571449440106,6° 48.37226212153816
51° 23.357144499898652,6° 48.372533956226405
51° 23.357143759713352,6° 48.37280578932996
51° 23.35714272345811,6° 48.37307761980462
51° 23.357141391134633,6° 48.373349447038194
51° 23.35713976274633,6° 48.37362127027646
51° 23.3571378383013,6° 48.37389308840191
51° 23.357135617802527,6° 48.374164900730605
51° 23.357133101257688,6° 48.37443670643356
51° 23.357130288673176,6° 48.37470850482839
51° 23.357127180059223,6° 48.374980294942596
51° 23.357123775423503,6° 48.375252075947174
51° 23.357120074782642,6° 48.375523846724576
51° 23.357116078138773,6° 48.375795607027584
51° 23.35711178550767,6° 48.37606735573704
51° 23.357107196902973,6° 48.376339092027095
51° 23.35710231234387,6° 48.37661081477711
51° 23.357097131835474,6° 48.376882523741344
51° 23.357091655403792,6° 48.377154217512235
51° 23.35708588305991,6° 48.377425895549266
51° 23.357079814822157,6° 48.37769755702807
51° 23.357073450708867,6° 48.37796920111966
51° 23.3570667907388,6° 48.37824082699665
51° 23.357059834948615,6° 48.378512433251366
51° 23.35705258332851,6° 48.37878402021511
51° 23.357045035915576,6° 48.37905558648341
51° 23.357037192732832,6° 48.37932713122722
51° 23.35702905380458,6° 48.3795986536191
51° 23.35702061917388,6° 48.37987015225147
51° 23.357011888829646,6° 48.3801416274587
51° 23.35700286281707,6° 48.38041307783314
51° 23.356993541163007,6° 48.38068450254737
51° 23.35698392389645,6° 48.38095590077398
51° 23.356974011066853,6° 48.38122727110839
51° 23.356963802663984,6° 48.381498613880325
51° 23.35695329871598,6° 48.38176992826547
51° 23.356942499346474,6° 48.38204121112037
51° 23.35693140447404,6° 48.38231246451217
51° 23.356920014177547,6° 48.38258368645916
51° 23.35690832849366,6° 48.382854876132484
51° 23.35689634740362,6° 48.38312603386331
51° 23.35688407104726,6° 48.38339715651293
51° 23.35687149946594,6° 48.38366824325382
51° 23.356858632590587,6° 48.383939295576006
51° 23.35684547051372,6° 48.38421031149483
51° 23.356832013274982,6° 48.38448129018589
51° 23.356818260915304,6° 48.38475223082174
51° 23.35680421347689,6° 48.38502313257956
51° 23.356789871002377,6° 48.385293994633315
51° 23.356775233535245,6° 48.38556481615713
51° 23.356760301120687,6° 48.38583559632667
51° 23.356745073803893,6° 48.386106334315926
51° 23.35672955169784,6° 48.38637702814477
51° 23.356713734717687,6° 48.38664767930183
51° 23.356697622977265,6° 48.38691828580389
51° 23.3566812165256,6° 48.38718884682809
51° 23.356664515411723,6° 48.387459361550015
51° 23.356647519688067,6° 48.38772982914682
51° 23.35663022940537,6° 48.388000248791045
51° 23.356612644616916,6° 48.38827061966286
51° 23.356594765376002,6° 48.38854094093634
51° 23.35657659173677,6° 48.3888112117871
51° 23.356558123755065,6° 48.38908143139374
51° 23.356539361568167,6° 48.38935159777927
51° 23.356520305072905,6° 48.389621712427626
51° 23.356500954405277,6° 48.389891773361775
51° 23.356481309626247,6° 48.3901617797588
51° 23.35646137079422,6° 48.39043173079739
51° 23.356441137971444,6° 48.390701625653136
51° 23.356420611218454,6° 48.39097146350626
51° 23.356399790597493,6° 48.391241243532264
51° 23.35637867626417,6° 48.39151096376028
51° 23.35635726810125,6° 48.391780625668126
51° 23.356335566264335,6° 48.39205022728643
51° 23.356313570817804,6° 48.392319767792245
51° 23.35629128183072,6° 48.39258924636429
51° 23.356268699370872,6° 48.39285866218269
51° 23.35624582350519,6° 48.39312801442459
51° 23.356222654305725,6° 48.39339730227021
51° 23.356199191840687,6° 48.39366652490122
51° 23.356175436183833,6° 48.39393568149477
51° 23.356151387405504,6° 48.394204771231024
51° 23.35612704537141,6° 48.39447379558928
51° 23.35610241057097,6° 48.39474274915452
51° 23.35607748265801,6° 48.39501163569912
51° 23.356052262135165,6° 48.39528044981259
51° 23.356026748647736,6° 48.39554919526877
51° 23.356000942709016,6° 48.39581786665727
51° 23.355974843957483,6° 48.39608646774883
51° 23.35594845291837,6° 48.396354993137635
51° 23.355921769220345,6° 48.39662344659145
51° 23.35589479340271,6° 48.39689182270739
51° 23.355867525084335,6° 48.39716012525179
51° 23.35583996457899,6° 48.39742835111629
51° 23.355812112208554,6° 48.39769649719262
51° 23.35578396758379,6° 48.39796456724406
51° 23.35575553126958,6° 48.39823255587534
51° 23.355726802868162,6° 48.39850046684816
51° 23.355697782956355,6° 48.39876829476875
51° 23.35566847112787,6° 48.3990360433974
51° 23.355638867972743,6° 48.39930370734494
51° 23.355608973075306,6° 48.39957129036692
51° 23.35557878703625,6° 48.39983878707731
51° 23.355548309433516,6° 48.4001062012317
51° 23.355517540880157,6° 48.40037352744705
51° 23.355486480943455,6° 48.400640769474435
51° 23.35545513024968,6° 48.400907921936835
51° 23.355423488358014,6° 48.401174988582326
51° 23.355391555905385,6° 48.40144196403537
51° 23.355359332444152,6° 48.40170885204259
51° 23.355326818623183,6° 48.40197564723455
51° 23.35529401398503,6° 48.402242353351696
51° 23.3552609191905,6° 48.402508965030776
51° 23.35522753377532,6° 48.40277548600908
51° 23.355193858410956,6° 48.40304191092342
51° 23.355159892625466,6° 48.403308243514175
51° 23.355125637102248,6° 48.40357447842115
51° 23.355091091360407,6° 48.40384061937863
51° 23.355056256094855,6° 48.404106661032564
